add_1,add_2,area,population,aver_old,under_15,15_65,over_65,rate_sex
静岡県,浜松市 北区,295.54 ,316.6,47.3 ,13.3 ,58.5 ,28.2 ,96.2 
静岡県,浜松市 浜北区,66.50 ,"1,442.1",45.2 ,15.5 ,59.1 ,25.4 ,98.2 
静岡県,浜松市 天竜区,943.84 ,32.1,56.0 ,8.2 ,49.7 ,42.1 ,92.9 
静岡県,沼津市,186.96 ,"1,046.4",48.4 ,11.5 ,59.2 ,29.3 ,96.3 
静岡県,熱海市,61.78 ,607.7,56.0 ,7.1 ,48.2 ,44.7 ,82.1 
静岡県,三島市,62.02 ,"1,774.4",46.6 ,13.0 ,60.2 ,26.8 ,95.8 
静岡県,富士宮市,389.08 ,336.1,46.6 ,13.6 ,59.5 ,26.9 ,96.7 
静岡県,伊東市,124.10 ,550.7,53.0 ,10.1 ,50.2 ,39.7 ,87.2 
静岡県,島田市,315.70 ,310.8,47.9 ,13.1 ,57.5 ,29.5 ,95.0 
静岡県,富士市,244.95 ,"1,014.1",46.3 ,13.5 ,60.3 ,26.1 ,96.4 
静岡県,磐田市,163.45 ,"1,023.0",46.1 ,13.7 ,60.0 ,26.3 ,101.3 
静岡県,焼津市,70.31 ,"1,983.5",46.8 ,13.3 ,58.9 ,27.8 ,95.6 
静岡県,掛川市,265.69 ,431.3,46.0 ,14.1 ,60.5 ,25.5 ,99.4 
静岡県,藤枝市,194.06 ,740.0,46.9 ,13.5 ,58.7 ,27.8 ,95.2 
静岡県,御殿場市,194.90 ,451.9,44.1 ,14.9 ,62.0 ,23.2 ,105.2 
静岡県,袋井市,108.33 ,791.9,43.9 ,15.4 ,62.2 ,22.4 ,101.5 
静岡県,下田市,104.38 ,219.5,53.5 ,9.8 ,51.3 ,38.9 ,92.5 
静岡県,裾野市,138.12 ,381.8,44.5 ,14.6 ,61.8 ,23.6 ,103.6 
静岡県,湖西市,86.56 ,690.7,45.6 ,13.6 ,61.0 ,25.4 ,104.5 
静岡県,伊豆市,363.97 ,86.0,53.2 ,9.4 ,52.9 ,37.7 ,90.0 
静岡県,御前崎市,65.56 ,496.9,47.2 ,13.0 ,59.7 ,27.3 ,102.6 
静岡県,菊川市,94.19 ,496.5,45.4 ,14.5 ,60.4 ,25.1 ,100.9 
静岡県,伊豆の国市,94.62 ,508.9,48.5 ,12.3 ,56.9 ,30.8 ,91.7 
静岡県,牧之原市,111.69 ,407.8,48.2 ,12.4 ,58.7 ,28.9 ,96.2 
静岡県,東伊豆町,77.81 ,162.2,55.1 ,8.4 ,49.2 ,42.4 ,88.6 
静岡県,河津町,100.69 ,72.5,53.7 ,10.9 ,49.3 ,39.8 ,92.6 
静岡県,南伊豆町,109.94 ,77.5,55.9 ,9.7 ,46.4 ,43.9 ,90.7 
静岡県,松崎町,85.19 ,80.3,55.8 ,9.2 ,47.7 ,43.2 ,89.2 
静岡県,西伊豆町,105.54 ,78.0,57.9 ,8.1 ,44.5 ,47.4 ,88.4 
静岡県,函南町,65.16 ,578.0,48.0 ,12.5 ,57.4 ,30.1 ,94.5 
静岡県,清水町,8.81 ,"3,645.6",44.7 ,14.4 ,61.2 ,24.4 ,94.1 
静岡県,長泉町,26.63 ,"1,589.6",42.5 ,16.3 ,62.5 ,21.2 ,100.6 
静岡県,小山町,135.74 ,143.6,46.4 ,12.3 ,61.5 ,26.3 ,114.0 
静岡県,吉田町,20.73 ,"1,403.4",44.9 ,14.6 ,61.3 ,24.0 ,98.3 
静岡県,川根本町,496.88 ,14.5,58.0 ,7.4 ,46.4 ,46.2 ,96.5 
静岡県,森町,133.91 ,138.4,49.3 ,12.3 ,56.8 ,30.9 ,97.4 
愛知県,愛知県,"5,172.48 ","1,446.7",44.3 ,13.8 ,62.4 ,23.8 ,100.0 
愛知県,名古屋市,326.45 ,"7,032.1",45.0 ,12.5 ,63.3 ,24.2 ,97.6 
愛知県,名古屋市 千種区,18.18 ,"9,059.2",45.2 ,11.8 ,64.5 ,23.7 ,95.6 
愛知県,名古屋市 東区,7.71 ,"10,122.3",46.0 ,10.9 ,65.2 ,23.9 ,91.4 
